measure_id,anchor_id,dst_ip,init_time,latency_m1,latency_m2,latency_m3,latency_m4,latitude,longitude
212.243.96.78_2024-07-19 23:28:37,3244,212.243.96.78,2024-07-19 23:28:37,7.9632,32.7974,32.5334,27.3884,47.169773,8.975433
193.46.104.18_2024-07-19 23:29:11,2812,193.46.104.18,2024-07-19 23:29:11,17.0344,40.9484,46.0124,34.1134,47.7920256,13.0106587
91.135.161.162_2024-07-19 23:29:45,1138,91.135.161.162,2024-07-19 23:29:45,17.0714,27.6588,36.165,33.3788,47.8224637,13.0405244
194.56.191.153_2024-07-19 23:32:53,3221,194.56.191.153,2024-07-19 23:32:53,9.3784,33.7502,35.7588,25.2242,47.2066913,8.7086082
185.54.81.31_2024-07-19 23:36:10,3033,185.54.81.31,2024-07-19 23:36:10,18.5958,36.3264,39.552,34.9196,45.85347,8.948091
45.131.252.71_2024-07-19 23:37:04,3341,45.131.252.71,2024-07-19 23:37:04,9.9636,34.117,31.5558,25.5964,47.358494,9.4491833
195.190.26.29_2024-07-19 23:38:42,2020,195.190.26.29,2024-07-19 23:38:42,10.7418,35.5316,37.2938,31.4596,48.16542,14.03664
62.109.128.111_2024-07-19 23:39:36,3175,62.109.128.111,2024-07-19 23:39:36,8.3146,30.2544,41.2364,25.6606,50.0652004,14.5274343
88.86.103.5_2024-07-19 23:40:19,1686,88.86.103.5,2024-07-19 23:40:19,12.4464,34.4552,45.1012,20.2802,50.0601642,14.482978
87.237.165.29_2024-07-19 23:42:12,3357,87.237.165.29,2024-07-19 23:42:12,7.1974,21.13,34.362,23.9044,51.2670946,6.8174322
185.138.55.234_2024-07-19 23:43:16,1629,185.138.55.234,2024-07-19 23:43:16,5.894,23.7704,29.2288,23.9636,51.1882705,6.8677694
194.50.94.201_2024-07-19 23:44:30,1844,194.50.94.201,2024-07-19 23:44:30,21.1756,20.7564,34.3582,20.9018,51.2673008,6.8175201
79.142.69.12_2024-07-19 23:45:53,3504,79.142.69.12,2024-07-19 23:45:53,6.7208,26.9566,27.578,25.2172,47.4326999,8.5572762
194.187.91.17_2024-07-19 23:46:27,3200,194.187.91.17,2024-07-19 23:46:27,7.1722,31.35,28.939,24.3488,47.3834092,8.4956042
130.59.80.2_2024-07-19 23:47:21,1075,130.59.80.2,2024-07-19 23:47:21,10.535,29.6162,33.1936,24.1176,47.380125,8.54513
185.173.128.71_2024-07-19 23:48:00,2859,185.173.128.71,2024-07-19 23:48:00,12.2556,28.5992,37.2652,25.9896,47.3780633,8.4968216
147.251.58.107_2024-07-19 23:53:20,2213,147.251.58.107,2024-07-19 23:53:20,11.7678,34.832,41.025,28.5844,49.2099358,16.5989768
109.248.43.37_2024-07-19 23:54:24,1703,109.248.43.37,2024-07-19 23:54:24,12.3938,36.7888,40.0926,22.0898,50.0820185,14.5333504
185.178.172.32_2024-07-19 23:55:38,2156,185.178.172.32,2024-07-19 23:55:38,8.21,33.3966,45.263,23.8068,50.0802774,14.5195484
217.31.202.22_2024-07-19 23:56:17,3445,217.31.202.22,2024-07-19 23:56:17,8.152,35.9792,37.4256,28.323,50.08103,14.451122
84.244.76.247_2024-07-19 23:57:11,3420,84.244.76.247,2024-07-19 23:57:11,8.7932,33.3462,40.9108,26.7166,50.0807699,14.3765413
78.128.211.119_2024-07-19 23:58:04,2289,78.128.211.119,2024-07-19 23:58:04,8.3762,31.4492,41.293,24.0058,50.1017962,14.3907702
85.162.162.14_2024-07-19 23:58:48,1806,85.162.162.14,2024-07-19 23:58:48,8.1448,31.5192,41.1376,24.9724,50.0494871,14.3307671
217.197.95.69_2024-07-19 23:59:32,2132,217.197.95.69,2024-07-19 23:59:32,13.563,29.1602,35.8374,31.7132,52.5385355,13.2380091
185.70.41.236_2024-07-20 00:01:35,1958,185.70.41.236,2024-07-20 00:01:35,9.2032,28.3584,36.1144,24.2834,47.3768866,8.541694
185.251.232.156_2024-07-20 00:02:53,3201,185.251.232.156,2024-07-20 00:02:53,16.3958,12.4462,29.7064,33.5638,51.51518,0.001856
31.172.2.193_2024-07-20 00:08:25,2517,31.172.2.193,2024-07-20 00:08:25,21.5764,32.9186,39.522,38.2928,52.5020517,13.3692652
80.80.254.254_2024-07-20 00:15:29,3334,80.80.254.254,2024-07-20 00:15:29,16.9642,40.4012,41.3098,32.9196,46.6174626,14.3154684
194.81.236.229_2024-07-20 00:20:53,1915,194.81.236.229,2024-07-20 00:20:53,17.4076,13.0314,29.0488,33.8844,51.52036494,-0.624524
98.98.159.178_2024-07-20 00:21:57,3708,98.98.159.178,2024-07-20 00:21:57,2.1962,23.3528,32.1952,19.0638,50.0971376,8.6439447
185.145.196.198_2024-07-20 00:22:56,1858,185.145.196.198,2024-07-20 00:22:56,2.2872,23.9206,27.0466,18.9228,50.1281919,8.6014355
195.184.247.67_2024-07-20 00:23:50,3830,195.184.247.67,2024-07-20 00:23:50,2.5522,25.5396,35.786,18.9034,50.1109221,8.6821267
80.82.242.39_2024-07-20 00:25:52,2925,80.82.242.39,2024-07-20 00:25:52,18.8082,14.0558,28.075,37.276,53.3791257,-2.2586245
164.39.242.17_2024-07-20 00:26:46,2296,164.39.242.17,2024-07-20 00:26:46,19.8616,16.8714,29.0354,36.1626,53.4660031,-2.3094034
141.28.230.229_2024-07-20 00:27:40,2148,141.28.230.229,2024-07-20 00:27:40,12.1294,34.9158,35.3578,27.7338,48.04788,8.20947
143.205.170.32_2024-07-20 00:29:03,2248,143.205.170.32,2024-07-20 00:29:03,19.3884,41.9712,40.579,34.9632,46.6160291,14.2652247
185.134.197.94_2024-07-20 00:30:31,1687,185.134.197.94,2024-07-20 00:30:31,14.8478,27.5388,34.058,33.6722,46.1994022,6.0558616
5.1.99.172_2024-07-20 00:32:59,1667,5.1.99.172,2024-07-20 00:32:59,17.6186,38.9078,39.6038,35.8112,46.5172206,6.6403302
193.135.150.58_2024-07-20 00:33:43,1146,193.135.150.58,2024-07-20 00:33:43,15.736,33.045,38.4528,36.6648,46.5243169,6.6029132
185.188.44.100_2024-07-20 00:34:17,1680,185.188.44.100,2024-07-20 00:34:17,12.7492,35.971,42.908,24.4464,47.5134206,7.6162501
217.243.179.215_2024-07-20 00:39:04,2899,217.243.179.215,2024-07-20 00:39:04,12.8926,32.9454,46.3364,28.1884,48.1930923,16.3920025
78.41.116.136_2024-07-20 00:39:58,3435,78.41.116.136,2024-07-20 00:39:58,13.1756,36.8688,41.7474,31.6296,48.1780466,16.3649629
212.10.11.213_2024-07-20 00:41:46,1751,212.10.11.213,2024-07-20 00:41:46,18.4802,27.853,44.9922,35.787,55.5123921,9.5069081
31.172.2.34_2024-07-20 00:42:30,2968,31.172.2.34,2024-07-20 00:42:30,14.7356,26.5898,45.208,31.782,51.5188705,7.3741684
31.172.2.253_2024-07-20 00:43:24,1299,31.172.2.253,2024-07-20 00:43:24,9.843,26.5116,45.1574,32.7568,51.5209565,7.4879214
185.221.36.2_2024-07-20 00:48:15,1489,185.221.36.2,2024-07-20 00:48:15,19.1484,28.705,49.2282,35.5868,56.067627,9.983517
161.53.251.28_2024-07-20 00:50:03,1206,161.53.251.28,2024-07-20 00:50:03,19.595,43.0408,48.77,28.3022,45.7924358,15.9694131
5.28.0.17_2024-07-20 00:51:57,326,5.28.0.17,2024-07-20 00:51:57,15.1314,33.5,42.5996,32.3292,47.497912,19.040235
91.227.139.106_2024-07-20 00:52:35,3288,91.227.139.106,2024-07-20 00:52:35,18.3406,41.0532,47.3336,28.6638,46.255896,20.147724
63.222.217.4_2024-07-20 00:53:19,2758,63.222.217.4,2024-07-20 00:53:19,13.0996,13.8886,28.3428,30.233,51.4992089,-0.0138439
185.40.232.202_2024-07-20 00:54:13,1456,185.40.232.202,2024-07-20 00:54:13,13.8384,10.4082,23.9014,30.9044,51.5232113,-0.1011476
195.66.241.220_2024-07-20 00:55:27,350,195.66.241.220,2024-07-20 00:55:27,16.579,11.2236,25.047,32.735,51.51463536,-0.0019221
46.234.34.8_2024-07-20 00:56:21,971,46.234.34.8,2024-07-20 00:56:21,7.5204,36.1698,37.4906,23.3796,47.387837,8.5202852
156.154.77.254_2024-07-20 00:56:59,2494,156.154.77.254,2024-07-20 00:56:59,7.7204,15.0346,33.5988,26.242,52.3547244,4.961308
93.90.135.201_2024-07-20 00:57:53,3041,93.90.135.201,2024-07-20 00:57:53,11.0364,30.6288,37.914,31.1866,51.1939616,14.3460768
193.111.213.213_2024-07-20 01:00:41,3255,193.111.213.213,2024-07-20 01:00:41,15.323,29.4764,40.8858,33.5498,52.5020517,13.3692652
77.220.248.89_2024-07-20 01:01:45,718,77.220.248.89,2024-07-20 01:01:45,20.177,42.2618,43.5414,37.1244,52.5200066,13.404954
213.9.97.164_2024-07-20 01:02:39,746,213.9.97.164,2024-07-20 01:02:39,5.585,20.0,31.1824,38.7238,51.2277411,6.7734556
89.185.60.124_2024-07-20 01:03:12,2277,89.185.60.124,2024-07-20 01:03:12,11.2992,18.136,17.966,29.6018,48.9280409,2.3520485
192.65.184.54_2024-07-20 01:04:26,291,192.65.184.54,2024-07-20 01:04:26,12.4728,26.2838,32.5986,29.376,46.232473,6.045897
185.209.172.154_2024-07-20 01:30:54,3721,185.209.172.154,2024-07-20 01:30:54,10.7056,36.1122,38.9848,28.007,47.8290874,13.0007105
86.38.3.141_2024-07-20 01:42:14,3083,86.38.3.141,2024-07-20 01:42:14,26.8852,45.5324,58.3938,45.399,54.6883208,25.215407
94.228.136.23_2024-07-20 01:43:58,3210,94.228.136.23,2024-07-20 01:43:58,8.5404,17.7246,32.6756,24.3368,52.3444688,4.8314695
185.35.147.163_2024-07-20 01:44:52,3553,185.35.147.163,2024-07-20 01:44:52,2.3966,25.2872,27.0792,19.479,50.0969757,8.6300397
45.87.76.6_2024-07-20 01:46:30,1907,45.87.76.6,2024-07-20 01:46:30,16.6478,18.4608,32.8242,33.4174,51.5875352,4.3050551
62.176.249.60_2024-07-20 01:50:43,2061,62.176.249.60,2024-07-20 01:50:43,9.1918,46.4806,40.518,32.7514,52.42821,10.79209
194.125.250.102_2024-07-20 01:53:30,2973,194.125.250.102,2024-07-20 01:53:30,21.6066,20.2162,29.5112,23.6028,51.2670946,6.8174322
195.191.197.68_2024-07-20 01:54:29,3149,195.191.197.68,2024-07-20 01:54:29,21.7214,23.1728,29.6388,21.9216,51.2673008,6.8175201
213.182.2.254_2024-07-20 01:57:52,2972,213.182.2.254,2024-07-20 01:57:52,11.161,31.29,40.396,27.5248,47.7561376,10.3166624
62.154.179.86_2024-07-20 02:00:09,3042,62.154.179.86,2024-07-20 02:00:09,15.2322,34.6166,42.217,33.3348,52.5457514,13.4228576
194.126.158.162_2024-07-20 02:16:33,989,194.126.158.162,2024-07-20 02:16:33,8.9484,27.619,35.6186,30.4456,48.1180903,11.6018052
94.199.91.189_2024-07-20 02:17:07,2490,94.199.91.189,2024-07-20 02:17:07,8.2048,37.7722,36.081,24.8196,48.104691,11.600206
70.34.195.54_2024-07-20 02:18:10,2896,70.34.195.54,2024-07-20 02:18:10,26.1362,35.5376,46.2334,42.657,59.3909289,17.8752145
46.244.63.73_2024-07-20 02:20:09,947,46.244.63.73,2024-07-20 02:20:09,14.2092,28.326,36.831,30.4994,53.1062782,6.8750998
188.241.28.37_2024-07-20 02:22:22,1070,188.241.28.37,2024-07-20 02:22:22,21.0298,39.6106,49.3562,39.9146,50.25361764,19.0029788
185.108.68.174_2024-07-20 02:25:10,3737,185.108.68.174,2024-07-20 02:25:10,25.2072,48.4918,53.275,42.8468,51.2134346,17.3898504
91.236.55.69_2024-07-20 02:31:11,3011,91.236.55.69,2024-07-20 02:31:11,29.0178,44.072,49.8796,43.556,52.9893248,18.6660783
185.244.192.10_2024-07-20 02:32:05,1820,185.244.192.10,2024-07-20 02:32:05,4.6228,32.7994,32.3618,21.7576,49.4519839,11.0769976
88.198.173.54_2024-07-20 02:32:59,1215,88.198.173.54,2024-07-20 02:32:59,4.986,35.2222,33.2666,22.2074,49.4492498,11.0139777
78.47.56.73_2024-07-20 02:33:33,1911,78.47.56.73,2024-07-20 02:33:33,5.2504,28.0128,37.5084,23.687,49.4494116,11.014143
84.88.18.254_2024-07-20 02:38:02,348,84.88.18.254,2024-07-20 02:38:02,37.594,42.6834,38.0956,54.4214,41.38474154,2.10848469
185.184.62.4_2024-07-20 02:38:55,2658,185.184.62.4,2024-07-20 02:38:55,35.3662,57.4076,62.0252,52.2558,43.2149925,27.9288115
89.236.171.11_2024-07-20 02:40:58,2514,89.236.171.11,2024-07-20 02:40:58,13.442,34.2028,31.0054,33.0844,47.5124986,7.6154363
213.173.161.11_2024-07-20 02:42:12,1437,213.173.161.11,2024-07-20 02:42:12,9.3578,30.5846,27.9248,26.5362,47.557092,7.5889323
185.15.59.74_2024-07-20 03:00:04,3209,185.15.59.74,2024-07-20 03:00:04,8.757,33.3568,42.1994,25.579,52.3924715,4.6637487
213.91.165.187_2024-07-20 03:05:20,2294,213.91.165.187,2024-07-20 03:05:20,28.9268,61.9984,57.4108,47.1368,42.69349502,23.32380402
185.239.193.37_2024-07-20 03:20:00,3102,185.239.193.37,2024-07-20 03:20:00,37.3606,46.487,57.6574,54.4778,61.4520601,23.848592
178.251.24.49_2024-07-20 03:25:47,1714,178.251.24.49,2024-07-20 03:25:47,7.007,21.0238,35.4236,24.0846,52.2202997,6.8643376
91.132.8.99_2024-07-20 03:27:01,1789,91.132.8.99,2024-07-20 03:27:01,13.617,35.6058,37.1816,31.2206,47.433041,8.5574139
91.223.159.7_2024-07-20 03:27:55,1499,91.223.159.7,2024-07-20 03:27:55,20.9614,29.8222,33.2894,36.5184,45.806495,4.7720959
149.91.83.251_2024-07-20 03:28:48,1654,149.91.83.251,2024-07-20 03:28:48,24.0742,35.1168,31.3298,39.5402,48.887975,2.214782
156.154.78.254_2024-07-20 03:30:32,2485,156.154.78.254,2024-07-20 03:30:32,10.118,16.5446,22.6812,28.4154,48.9280409,2.3520485
51.159.68.135_2024-07-20 03:31:06,1651,51.159.68.135,2024-07-20 03:31:06,11.3228,17.9806,18.0454,29.4648,48.7946957,2.4117285
5.182.144.161_2024-07-20 03:35:58,2097,5.182.144.161,2024-07-20 03:35:58,16.2666,24.329,24.2994,34.7614,45.9426239,4.733175
185.32.189.249_2024-07-20 03:36:56,1203,185.32.189.249,2024-07-20 03:36:56,38.9144,48.5234,45.5058,56.2388,38.7879226,-9.1236401
31.14.143.132_2024-07-20 03:40:24,1633,31.14.143.132,2024-07-20 03:40:24,17.7274,46.6656,38.0046,35.6868,43.4598942,11.8380349
5.158.64.189_2024-07-20 03:40:58,2200,5.158.64.189,2024-07-20 03:40:58,34.4946,46.0866,39.2904,53.3466,40.5906101,14.9837691
185.144.72.8_2024-07-20 03:41:52,3067,185.144.72.8,2024-07-20 03:41:52,14.9238,34.6168,39.1108,33.3014,46.4827008,11.3311769
87.195.79.82_2024-07-20 03:43:45,2368,87.195.79.82,2024-07-20 03:43:45,10.6166,17.7914,28.9134,27.1886,52.5346819,5.7218086
185.113.24.114_2024-07-20 03:44:48,1253,185.113.24.114,2024-07-20 03:44:48,16.2908,11.2818,24.2906,31.6916,51.5212588,-0.0719967
156.154.76.254_2024-07-20 03:50:10,2483,156.154.76.254,2024-07-20 03:50:10,2.0826,21.0026,25.7804,17.4414,50.1199637,8.7357106
5.145.135.67_2024-07-20 03:55:11,2813,5.145.135.67,2024-07-20 03:55:11,16.1396,19.8258,30.2988,39.55,50.7832007,6.1344538
213.108.25.10_2024-07-20 03:56:05,2284,213.108.25.10,2024-07-20 03:56:05,23.0386,36.7014,45.2194,38.1834,59.3035703,18.0868692
80.67.181.29_2024-07-20 03:57:19,2819,80.67.181.29,2024-07-20 03:57:19,14.1322,18.9154,23.8516,32.2318,50.8229383,4.3689499
185.111.204.121_2024-07-20 03:58:13,1842,185.111.204.121,2024-07-20 03:58:13,11.3776,21.7608,23.7978,29.9344,50.8450804,4.7243853
213.128.137.33_2024-07-20 04:00:51,912,213.128.137.33,2024-07-20 04:00:51,8.639,26.127,33.4012,24.0218,53.550004,10.048331
192.44.83.3_2024-07-20 04:07:21,2303,192.44.83.3,2024-07-20 04:07:21,17.3084,27.1918,40.2852,33.7498,49.57384,11.02773
89.116.135.200_2024-07-20 04:20:08,3449,89.116.135.200,2024-07-20 04:20:08,6.024,25.8298,27.2978,22.9904,49.5047683,6.1127634
46.29.176.71_2024-07-20 04:22:12,1219,46.29.176.71,2024-07-20 04:22:12,5.199,23.1442,25.4316,22.8022,49.5051956,6.113479
85.93.215.82_2024-07-20 04:23:16,2822,85.93.215.82,2024-07-20 04:23:16,6.062,24.2832,26.9798,24.7252,49.5845783,6.2256543
185.119.90.181_2024-07-20 04:27:22,3507,185.119.90.181,2024-07-20 04:27:22,20.784,45.3182,45.7986,37.7658,44.8112911,20.3987228
160.99.1.254_2024-07-20 04:28:01,3417,160.99.1.254,2024-07-20 04:28:01,29.8416,52.1738,54.695,46.879,43.322965,21.893277
45.86.126.73_2024-07-20 04:29:35,2356,45.86.126.73,2024-07-20 04:29:35,12.6724,34.0166,40.2706,30.4958,50.4787549,12.3348451
82.98.65.254_2024-07-20 04:31:09,2894,82.98.65.254,2024-07-20 04:31:09,2.2378,26.0158,25.8278,19.3908,50.096109,8.6284112
46.101.130.201_2024-07-20 04:31:47,2736,46.101.130.201,2024-07-20 04:31:47,2.332,25.7214,25.8436,19.068,50.12007,8.73561
83.243.44.55_2024-07-20 04:34:06,1407,83.243.44.55,2024-07-20 04:34:06,2.856,20.947,26.434,19.657,50.1398082,8.7431943
141.98.136.85_2024-07-20 04:35:05,2877,141.98.136.85,2024-07-20 04:35:05,2.4304,23.4164,26.5796,20.6022,50.1396084,8.7433378
194.50.92.201_2024-07-20 04:36:19,1865,194.50.92.201,2024-07-20 04:36:19,2.8148,23.4236,26.6656,20.8934,50.139593,8.7429433
195.16.81.9_2024-07-20 04:37:13,1509,195.16.81.9,2024-07-20 04:37:13,12.2862,30.9762,41.8142,29.4684,51.3954727,12.3988051
188.94.96.182_2024-07-20 04:48:16,3393,188.94.96.182,2024-07-20 04:48:16,3.0458,26.2908,27.729,20.8764,49.4864026,8.4211817
141.44.3.252_2024-07-20 04:49:10,1242,141.44.3.252,2024-07-20 04:49:10,17.0254,31.022,41.6666,42.1906,52.1402053,11.6441991
85.187.20.236_2024-07-20 04:50:18,1419,85.187.20.236,2024-07-20 04:50:18,28.9138,44.9422,53.078,37.3724,42.668544,23.395407
79.142.70.56_2024-07-20 04:51:12,3493,79.142.70.56,2024-07-20 04:51:12,25.926,47.563,53.7282,42.6326,42.6729301,23.3832916
212.103.84.18_2024-07-20 04:51:46,3176,212.103.84.18,2024-07-20 04:51:46,7.189,34.4112,29.7156,22.4944,47.3834092,8.4956042
129.143.66.65_2024-07-20 04:52:20,2024,129.143.66.65,2024-07-20 04:52:20,5.677,28.491,29.5656,22.7262,48.7457001,9.1070098
91.190.224.98_2024-07-20 04:53:24,2341,91.190.224.98,2024-07-20 04:53:24,12.1372,26.8224,35.3276,28.7684,52.15731,7.55537
31.172.2.249_2024-07-20 04:55:51,1300,31.172.2.249,2024-07-20 04:55:51,10.1674,27.431,39.4102,29.265,51.188264,6.867753
185.104.160.214_2024-07-20 04:56:25,2549,185.104.160.214,2024-07-20 04:56:25,7.169,23.7986,30.7822,24.1676,52.3514109,7.4777679
194.242.34.190_2024-07-20 04:58:33,1410,194.242.34.190,2024-07-20 04:58:33,9.0444,36.2576,32.6106,25.7562,47.43517586,8.55998946
193.171.255.2_2024-07-20 05:00:41,335,193.171.255.2,2024-07-20 05:00:41,12.8438,34.1868,35.7194,21.7378,48.2081743,16.3738189
92.60.13.86_2024-07-20 05:01:44,1112,92.60.13.86,2024-07-20 05:01:44,12.4736,36.4366,36.0098,30.8448,48.2102659,16.3784865
139.162.139.168_2024-07-20 05:04:52,2729,139.162.139.168,2024-07-20 05:04:52,1.8104,19.6766,25.624,20.595,50.0968833,8.6441701
91.234.194.103_2024-07-20 05:12:19,2957,91.234.194.103,2024-07-20 05:12:19,15.5798,23.9086,22.2096,30.9032,48.7039237,6.1409437
5.62.127.14_2024-07-20 05:24:30,1848,5.62.127.14,2024-07-20 05:24:30,28.0232,18.9254,41.7226,32.7724,51.427755,-0.97925
195.80.157.38_2024-07-20 05:26:09,2753,195.80.157.38,2024-07-20 05:26:09,10.1394,17.4286,16.9798,27.3932,48.9280308,2.3520324
194.31.131.71_2024-07-20 05:37:32,3450,194.31.131.71,2024-07-20 05:37:32,19.0162,30.7164,28.7546,37.6398,52.0940535,5.0130136
185.245.63.36_2024-07-20 05:39:59,3235,185.245.63.36,2024-07-20 05:39:59,6.2306,20.9594,26.3296,23.1482,50.1266837,8.5817123
193.2.63.12_2024-07-20 05:41:26,2426,193.2.63.12,2024-07-20 05:41:26,29.6274,51.7222,39.0262,46.9194,46.0499684,14.4604834
5.226.144.240_2024-07-20 05:44:38,2343,5.226.144.240,2024-07-20 05:44:38,15.4862,37.1044,36.6286,34.3266,47.5008806,8.7207455
195.37.209.21_2024-07-20 05:45:11,1821,195.37.209.21,2024-07-20 05:45:11,21.1972,42.1902,44.2428,38.398,53.5696044,9.9865943
80.252.103.222_2024-07-20 05:46:25,1619,80.252.103.222,2024-07-20 05:46:25,10.9512,23.5144,32.584,27.7264,53.549318,10.0480076
93.88.225.55_2024-07-20 05:47:19,2209,93.88.225.55,2024-07-20 05:47:19,6.0546,23.8666,30.25,22.1138,50.02954,10.5249999
212.62.68.29_2024-07-20 05:48:18,3234,212.62.68.29,2024-07-20 05:48:18,8.9212,26.304,31.91,27.2358,52.1209666,8.647389
77.220.233.1_2024-07-20 05:51:26,752,77.220.233.1,2024-07-20 05:51:26,19.7348,45.1798,40.6998,37.7184,51.03883,13.73229
213.184.86.101_2024-07-20 05:52:19,1490,213.184.86.101,2024-07-20 05:52:19,14.8348,30.8592,40.32,32.6264,55.728092,12.3774821
195.130.61.208_2024-07-20 05:53:43,1359,195.130.61.208,2024-07-20 05:53:43,23.2842,50.3786,51.6318,40.31,43.8577581,18.39777079
80.65.65.220_2024-07-20 05:54:47,1562,80.65.65.220,2024-07-20 05:54:47,27.2258,49.4626,50.4598,41.2768,44.1994776,17.9021989
193.201.40.210_2024-07-20 05:55:41,928,193.201.40.210,2024-07-20 05:55:41,20.5978,39.2486,36.8782,35.8416,41.89897,12.51185
194.187.172.112_2024-07-20 05:56:35,1461,194.187.172.112,2024-07-20 05:56:35,20.3096,39.0218,36.4248,37.1684,41.8748745,12.4781296
194.187.174.6_2024-07-20 05:57:38,1462,194.187.174.6,2024-07-20 05:57:38,11.0186,36.8766,31.2314,28.188,45.3806799,9.1648264
37.10.45.14_2024-07-20 05:58:32,1293,37.10.45.14,2024-07-20 05:58:32,9.1066,18.3536,26.3404,27.1748,52.3449285,4.8292414
78.141.215.164_2024-07-20 05:59:46,1524,78.141.215.164,2024-07-20 05:59:46,8.7042,17.1154,27.5934,26.3708,52.3908925,4.6647595
194.1.149.210_2024-07-20 06:00:40,1029,194.1.149.210,2024-07-20 06:00:40,29.5372,54.2326,49.4792,47.2304,41.324873,19.816192
185.51.192.48_2024-07-20 06:02:43,1962,185.51.192.48,2024-07-20 06:02:43,8.7762,18.135,26.2994,26.118,52.3924715,4.6637487
91.215.150.218_2024-07-20 06:03:36,1655,91.215.150.218,2024-07-20 06:03:36,10.6264,20.1818,28.7076,27.9528,52.3619025,5.6407227
82.148.224.6_2024-07-20 06:05:09,2067,82.148.224.6,2024-07-20 06:05:09,19.1144,12.2136,28.7738,36.0024,53.5790087,-2.4392645
143.129.80.132_2024-07-20 06:06:03,386,143.129.80.132,2024-07-20 06:06:03,12.362,22.0674,25.6096,27.669,51.18446055,4.42069023
185.139.168.19_2024-07-20 06:13:07,1211,185.139.168.19,2024-07-20 06:13:07,25.442,48.2542,54.6296,42.6348,60.20640511,24.8950162
81.18.177.166_2024-07-20 06:16:45,1756,81.18.177.166,2024-07-20 06:16:45,16.4388,23.3282,24.2046,34.5248,45.7572536,4.899645
185.97.141.2_2024-07-20 06:17:18,1470,185.97.141.2,2024-07-20 06:17:18,10.9762,18.5302,18.5522,29.4218,48.7747877,2.3795177
85.118.58.213_2024-07-20 06:18:32,3194,85.118.58.213,2024-07-20 06:18:32,11.124,18.4578,18.4538,29.695,48.7752859,2.3800026
89.106.219.238_2024-07-20 06:20:45,416,89.106.219.238,2024-07-20 06:20:45,6.8558,32.6404,39.057,24.6204,48.7122107,8.7472439
23.151.216.129_2024-07-20 06:21:39,3560,23.151.216.129,2024-07-20 06:21:39,9.0508,18.307,26.1182,25.7234,52.3562231,4.9512489
194.122.76.250_2024-07-20 06:22:32,954,194.122.76.250,2024-07-20 06:22:32,8.2994,17.2304,26.907,23.9404,52.3702157,4.8951679
193.105.163.172_2024-07-20 06:24:30,308,193.105.163.172,2024-07-20 06:24:30,23.8922,45.3642,55.915,42.3698,44.8075746,20.4625109
80.67.190.218_2024-07-20 06:29:22,1612,80.67.190.218,2024-07-20 06:29:22,17.3708,24.3016,25.6382,34.4482,48.1075171,-1.6437736
207.226.224.236_2024-07-20 06:29:55,2218,207.226.224.236,2024-07-20 06:29:55,2.1022,24.4534,31.6396,19.0406,50.1137156,8.6954089
213.136.12.209_2024-07-20 06:31:04,932,213.136.12.209,2024-07-20 06:31:04,9.9812,18.0156,26.801,27.0772,52.0276218,5.6244979
